numcol__Elevation,numcol__Aspect,numcol__Slope,numcol__Horizontal_Distance_To_Hydrology,numcol__Vertical_Distance_To_Hydrology,numcol__Horizontal_Distance_To_Roadways,numcol__Hillshade_9am,numbin__Hillshade_Noon,numbin__Hillshade_3pm,numbin__Horizontal_Distance_To_Fire_Points,numbin__Wilderness_Area,numbin__Soil_Type1,numbin__Soil_Type2,numbin__Soil_Type3,numbin__Soil_Type4,numbin__Soil_Type5,numbin__Soil_Type6,numbin__Soil_Type7,numbin__Soil_Type8,numbin__Soil_Type9,numbin__Soil_Type10,numbin__Soil_Type11,numbin__Soil_Type12,numbin__Soil_Type13,numbin__Soil_Type14,numbin__Soil_Type16,numbin__Soil_Type17,numbin__Soil_Type18,numbin__Soil_Type19,numbin__Soil_Type20,numbin__Soil_Type21,numbin__Soil_Type22,numbin__Soil_Type23,numbin__Soil_Type24,numbin__Soil_Type25,numbin__Soil_Type26,numbin__Soil_Type27,numbin__Soil_Type28,numbin__Soil_Type29,numbin__Soil_Type30,numbin__Soil_Type31,numbin__Soil_Type32,numbin__Soil_Type33,numbin__Soil_Type34,numbin__Soil_Type35,numbin__Soil_Type37,numbin__Soil_Type38,numbin__Soil_Type39,numbin__Soil_Type40,Cover_Type
-0.15129151291512916,0.31746031746031744,-0.631495707184817,0.5757575757575758,0.5416666666666666,-0.28,0.09575486753909991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
-0.6863468634686347,-0.49206349206349204,-0.21079981924988703,-0.18181818181818182,-0.16666666666666666,0.08,1.0864985636769868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.2915129151291513,0.5873015873015873,1.1863985539990962,-1.6363636363636365,0.4583333333333333,1.36,0.993297159272263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.3173431734317342,0.746031746031746,1.7291007681879802,-0.5757575757575758,1.0833333333333333,0.9,1.160548994573891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
-0.5756457564575646,-0.1111111111111111,-0.17555354722096703,-1.4848484848484849,-0.4583333333333333,0.8,-0.34663262049154164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.4280442804428044,2.6825396825396823,-0.4313149570718482,-0.7575757575757576,-0.4166666666666667,0.36,-0.6473029045643154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.044280442804428,1.9365079365079365,-0.4313149570718482,-0.8484848484848485,-2.5,-0.9,0.3262049154165337,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
-0.15129151291512916,0.23809523809523808,-0.8429733393583371,-0.12121212121212122,-1.75,-0.98,-0.5783593999361635,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0.1918819188191882,-0.14285714285714285,-0.1850429281518301,-0.5454545454545454,0.875,0.84,-0.31982125758059365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.6420664206642066,0.4603174603174603,-0.024627202892001807,0.15151515151515152,-0.9583333333333334,-0.68,1.0833067347590168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.24354243542435425,-0.4126984126984127,-0.10460912788070492,-2.6363636363636362,-2.5833333333333335,0.28,1.6820938397701883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
0.5535055350553506,2.2698412698412698,0.7159963849977407,1.0909090909090908,-1.4583333333333333,-2.06,0.3000319182891797,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.43911439114391143,1.1111111111111112,-0.7476276547672842,0.030303030303030304,-1.7083333333333333,-1.06,0.33322693903606765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
-0.7970479704797048,-0.4603174603174603,-0.41821057388160865,0.2727272727272727,0.7083333333333334,0.12,0.8420044685604852,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.6863468634686347,-0.38095238095238093,0.12629914143696339,0.6363636363636364,0.4583333333333333,-0.4,0.6862432173635493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
0.22509225092250923,-0.20634920634920634,-0.15567103479439676,0.5151515151515151,-0.5416666666666666,-0.72,0.09575486753909991,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
-0.3985239852398524,-0.09523809523809523,0.5375056484410303,0.18181818181818182,0.875,0.22,2.4806894350462816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0959409594095941,-0.30158730158730157,0.6640307275192047,0.06060606060606061,-1.2083333333333333,-0.74,2.5043089690392595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
